,Knowledge of computational skills,Comfort,Trainee status
0,Medium skill,High comfort,Nontrainee
1,Medium skill,Low comfort,Trainee
2,Medium skill,Medium comfort,Nontrainee
3,Medium skill,Medium comfort,Nontrainee
4,Medium skill,High comfort,Trainee
5,Medium skill,Medium comfort,Trainee
6,High skill,High comfort,Trainee
7,Medium skill,Medium comfort,Trainee
8,High skill,High comfort,Nontrainee
9,Medium skill,Medium comfort,Nontrainee
10,Medium skill,Medium comfort,Trainee
11,Medium skill,High comfort,Nontrainee
12,Medium skill,Medium comfort,Nontrainee
13,Medium skill,High comfort,Trainee
14,High skill,High comfort,Trainee
15,High skill,High comfort,Nontrainee
16,High skill,High comfort,Nontrainee
17,Medium skill,Low comfort,Trainee
18,High skill,High comfort,Trainee
19,Medium skill,Medium comfort,Trainee
20,High skill,High comfort,Nontrainee
21,Medium skill,Medium comfort,Nontrainee
22,Medium skill,High comfort,Nontrainee
23,Medium skill,Medium comfort,Nontrainee
24,Medium skill,High comfort,Trainee
25,High skill,High comfort,Trainee
26,Medium skill,High comfort,Nontrainee
27,Medium skill,Low comfort,Nontrainee
28,Low skill,Low comfort,Nontrainee
29,Low skill,Medium comfort,Nontrainee
30,High skill,High comfort,Nontrainee
31,Medium skill,High comfort,Trainee
32,High skill,High comfort,Nontrainee
33,Medium skill,Low comfort,Trainee
34,Medium skill,Medium comfort,Nontrainee
35,Medium skill,Medium comfort,Nontrainee
36,Medium skill,Medium comfort,Trainee
37,Medium skill,High comfort,Trainee
38,Medium skill,Medium comfort,Nontrainee
39,High skill,High comfort,Nontrainee
40,Medium skill,Medium comfort,Nontrainee
41,Medium skill,High comfort,Nontrainee
42,High skill,High comfort,Nontrainee
43,Medium skill,Medium comfort,Nontrainee
44,Medium skill,Low comfort,Trainee
45,High skill,High comfort,Nontrainee
46,High skill,High comfort,Nontrainee
47,Medium skill,High comfort,Trainee
48,High skill,High comfort,Nontrainee
49,Medium skill,Medium comfort,Nontrainee
50,Low skill,Low comfort,Trainee
51,Medium skill,High comfort,Trainee
52,Medium skill,High comfort,Nontrainee
53,Medium skill,Medium comfort,Trainee
54,Medium skill,High comfort,Nontrainee
55,High skill,High comfort,Trainee
56,High skill,High comfort,Trainee
57,Medium skill,High comfort,Trainee
58,Low skill,Low comfort,Nontrainee
59,Medium skill,Medium comfort,Nontrainee
60,High skill,Medium comfort,Nontrainee
61,Medium skill,Medium comfort,Nontrainee
62,Low skill,Medium comfort,Nontrainee
63,Medium skill,High comfort,Nontrainee
64,Medium skill,Medium comfort,Nontrainee
65,Medium skill,Medium comfort,Nontrainee
66,High skill,High comfort,Trainee
67,High skill,High comfort,Nontrainee
68,High skill,High comfort,Trainee
69,Medium skill,Medium comfort,Nontrainee
70,Medium skill,Medium comfort,Trainee
71,Medium skill,High comfort,Trainee
72,Medium skill,High comfort,Nontrainee
73,Medium skill,Medium comfort,Trainee
74,High skill,High comfort,Trainee
75,Medium skill,Medium comfort,Nontrainee
76,Medium skill,Medium comfort,Trainee
77,Medium skill,Medium comfort,Nontrainee
78,Medium skill,Medium comfort,Trainee
79,High skill,Medium comfort,Nontrainee
80,Medium skill,Medium comfort,Nontrainee
81,Medium skill,Medium comfort,Nontrainee
82,Medium skill,Low comfort,Nontrainee
83,High skill,High comfort,Nontrainee
84,Medium skill,High comfort,Trainee
85,High skill,High comfort,Trainee
86,Low skill,High comfort,Trainee
87,Low skill,Medium comfort,Nontrainee
88,Medium skill,High comfort,Trainee
89,Medium skill,Medium comfort,Nontrainee
90,Medium skill,Low comfort,Nontrainee
91,Medium skill,Low comfort,Nontrainee
92,Medium skill,Medium comfort,Trainee
93,Medium skill,Medium comfort,Nontrainee
94,Medium skill,Medium comfort,Nontrainee
95,High skill,High comfort,Nontrainee
96,Medium skill,Medium comfort,Trainee
97,High skill,High comfort,Trainee
98,Medium skill,Medium comfort,Nontrainee
99,Low skill,Low comfort,Nontrainee
100,Medium skill,Medium comfort,Nontrainee
101,High skill,High comfort,Trainee
102,Medium skill,Medium comfort,Nontrainee
103,Medium skill,Medium comfort,Nontrainee
104,Medium skill,Medium comfort,Nontrainee
105,Medium skill,Medium comfort,Nontrainee
106,High skill,High comfort,Nontrainee
107,Medium skill,Medium comfort,Trainee
108,Medium skill,Medium comfort,Nontrainee
109,High skill,High comfort,Nontrainee
110,Medium skill,Low comfort,Nontrainee
111,High skill,Medium comfort,Nontrainee
112,Medium skill,High comfort,Nontrainee
113,Medium skill,Medium comfort,Nontrainee
114,Medium skill,Medium comfort,Nontrainee
115,High skill,Low comfort,Nontrainee
116,Medium skill,Medium comfort,Nontrainee
117,High skill,Medium comfort,Nontrainee
118,High skill,High comfort,Trainee
119,Medium skill,Low comfort,Trainee
120,High skill,High comfort,Nontrainee
121,High skill,High comfort,Nontrainee
122,High skill,High comfort,Nontrainee
123,Medium skill,High comfort,Trainee
124,Medium skill,High comfort,Nontrainee
125,Low skill,Medium comfort,Nontrainee
126,Medium skill,Low comfort,Nontrainee
127,High skill,High comfort,Trainee
128,Low skill,Low comfort,Nontrainee
129,Medium skill,High comfort,Trainee
130,High skill,High comfort,Trainee
131,High skill,High comfort,Nontrainee
132,Low skill,Low comfort,Nontrainee
133,High skill,High comfort,Trainee
134,Medium skill,High comfort,Nontrainee
135,Low skill,Low comfort,Nontrainee
136,Medium skill,Low comfort,Nontrainee
137,Medium skill,High comfort,Nontrainee
138,Medium skill,Low comfort,Nontrainee
139,High skill,High comfort,Nontrainee
140,Low skill,Medium comfort,Trainee
141,Medium skill,Low comfort,Nontrainee
142,Medium skill,Medium comfort,Nontrainee
143,Medium skill,High comfort,Nontrainee
144,Medium skill,High comfort,Trainee
145,Medium skill,Medium comfort,Nontrainee
146,Medium skill,Medium comfort,Nontrainee
147,Medium skill,High comfort,Nontrainee
148,Low skill,Low comfort,Nontrainee
149,Medium skill,High comfort,Nontrainee
150,High skill,High comfort,Trainee
151,Medium skill,Medium comfort,Nontrainee
152,High skill,High comfort,Nontrainee
153,High skill,High comfort,Nontrainee
154,High skill,High comfort,Nontrainee
155,High skill,High comfort,Trainee
156,Medium skill,Medium comfort,Nontrainee
157,Medium skill,High comfort,Nontrainee
158,Medium skill,Medium comfort,Nontrainee
159,Medium skill,Medium comfort,Nontrainee
160,Medium skill,Medium comfort,Nontrainee
161,Medium skill,High comfort,Nontrainee
162,Medium skill,Medium comfort,Trainee
163,Medium skill,Medium comfort,Trainee
164,Medium skill,Medium comfort,Nontrainee
165,Medium skill,Medium comfort,Nontrainee
166,Medium skill,High comfort,Nontrainee
167,Medium skill,High comfort,Nontrainee
168,Low skill,Low comfort,Nontrainee
169,Medium skill,Medium comfort,Nontrainee
170,High skill,High comfort,Nontrainee
171,Low skill,Low comfort,Trainee
172,Medium skill,Medium comfort,Nontrainee
173,Medium skill,Medium comfort,Nontrainee
174,High skill,High comfort,Nontrainee
175,Medium skill,Medium comfort,Nontrainee
176,Medium skill,Medium comfort,Nontrainee
177,Medium skill,Low comfort,Nontrainee
178,Medium skill,Low comfort,Nontrainee
179,Medium skill,Medium comfort,Nontrainee
180,Medium skill,Medium comfort,Nontrainee
181,Medium skill,High comfort,Nontrainee
182,Medium skill,Medium comfort,Nontrainee
183,Medium skill,Medium comfort,Trainee
184,High skill,Medium comfort,Nontrainee
185,Medium skill,Medium comfort,Trainee
186,Medium skill,Medium comfort,Nontrainee
187,Medium skill,Low comfort,Nontrainee
188,Low skill,Low comfort,Trainee
189,Medium skill,Medium comfort,Nontrainee
190,High skill,Medium comfort,Nontrainee
191,Medium skill,Medium comfort,Nontrainee
192,Medium skill,Low comfort,Nontrainee
193,Medium skill,Low comfort,Trainee
194,Medium skill,Medium comfort,Nontrainee
195,Medium skill,Medium comfort,Trainee
196,Medium skill,Medium comfort,Trainee
197,Medium skill,Medium comfort,Nontrainee
198,Medium skill,Medium comfort,Nontrainee
199,Medium skill,High comfort,Trainee
200,Medium skill,Medium comfort,Nontrainee
201,Medium skill,Low comfort,Nontrainee
202,Medium skill,Medium comfort,Trainee
203,Medium skill,Medium comfort,Nontrainee
204,Medium skill,Medium comfort,Nontrainee
205,Medium skill,Medium comfort,Nontrainee
206,High skill,Medium comfort,Nontrainee
207,Medium skill,Medium comfort,Nontrainee
208,Low skill,Medium comfort,Nontrainee
209,Low skill,Low comfort,Trainee
210,High skill,High comfort,Nontrainee
211,Medium skill,High comfort,Nontrainee
212,High skill,Medium comfort,Nontrainee
213,Medium skill,High comfort,Nontrainee
214,Medium skill,High comfort,Nontrainee
215,Medium skill,High comfort,Trainee
216,Medium skill,Medium comfort,Nontrainee
217,Medium skill,Medium comfort,Nontrainee
218,High skill,High comfort,Nontrainee
219,Medium skill,Medium comfort,Nontrainee
220,Medium skill,Medium comfort,Nontrainee
221,Low skill,Low comfort,Nontrainee
222,Medium skill,Medium comfort,Nontrainee
223,Medium skill,Medium comfort,Nontrainee
224,Medium skill,High comfort,Trainee
225,Low skill,Low comfort,Nontrainee
226,Medium skill,Low comfort,Nontrainee
227,High skill,Medium comfort,Nontrainee
228,Medium skill,Low comfort,Nontrainee
229,Medium skill,Medium comfort,Nontrainee
230,Medium skill,High comfort,Trainee
231,Medium skill,Medium comfort,Nontrainee
232,High skill,Medium comfort,Nontrainee
233,High skill,High comfort,Nontrainee
234,Medium skill,High comfort,Trainee
235,Medium skill,High comfort,Nontrainee
236,Medium skill,High comfort,Trainee
237,Low skill,Medium comfort,Nontrainee
238,Medium skill,High comfort,Nontrainee
239,High skill,Medium comfort,Nontrainee
240,Medium skill,Medium comfort,Nontrainee
241,Medium skill,Medium comfort,Trainee
242,Medium skill,High comfort,Nontrainee
243,Low skill,Medium comfort,Trainee
244,Medium skill,Medium comfort,Trainee
245,Medium skill,High comfort,Trainee
246,High skill,High comfort,Nontrainee
247,Medium skill,Medium comfort,Nontrainee
248,Medium skill,Medium comfort,Nontrainee
249,Medium skill,Low comfort,Trainee
250,Medium skill,Medium comfort,Nontrainee
251,Medium skill,Medium comfort,Trainee
252,Medium skill,Medium comfort,Nontrainee
253,Medium skill,Medium comfort,Nontrainee
254,Low skill,Medium comfort,Nontrainee
255,Medium skill,Medium comfort,Trainee
256,Medium skill,Medium comfort,Nontrainee
257,High skill,High comfort,Nontrainee
258,Medium skill,Medium comfort,Nontrainee
259,Medium skill,High comfort,Nontrainee
260,High skill,Medium comfort,Nontrainee
261,Medium skill,Medium comfort,Nontrainee
262,Medium skill,High comfort,Nontrainee
263,Medium skill,High comfort,Nontrainee
264,High skill,Medium comfort,Trainee
265,Medium skill,Medium comfort,Nontrainee
266,High skill,High comfort,Nontrainee
267,Medium skill,High comfort,Nontrainee
268,High skill,High comfort,Nontrainee
269,High skill,High comfort,Nontrainee
270,High skill,Medium comfort,Nontrainee
271,Medium skill,Medium comfort,Nontrainee
272,Medium skill,High comfort,Nontrainee
273,High skill,High comfort,Nontrainee
274,Low skill,Medium comfort,Nontrainee
275,High skill,High comfort,Nontrainee
276,Medium skill,High comfort,Nontrainee
277,High skill,High comfort,Nontrainee
278,Medium skill,Medium comfort,Trainee
279,Low skill,Low comfort,Trainee
280,Medium skill,High comfort,Trainee
281,Medium skill,Medium comfort,Trainee
282,Medium skill,Medium comfort,Trainee
283,,,
284,Low skill,Medium comfort,Trainee
285,Medium skill,Medium comfort,Trainee
286,Medium skill,Medium comfort,Nontrainee
287,Medium skill,Medium comfort,Nontrainee
288,Medium skill,Medium comfort,Trainee
289,High skill,High comfort,Trainee
290,Low skill,High comfort,Trainee
291,Low skill,Medium comfort,Trainee
292,Medium skill,Low comfort,Nontrainee
293,Medium skill,Medium comfort,Nontrainee
294,High skill,High comfort,Trainee
295,Medium skill,Low comfort,Nontrainee
296,Medium skill,Medium comfort,Nontrainee
297,Low skill,Low comfort,Nontrainee
298,Medium skill,Medium comfort,Trainee
299,High skill,High comfort,Trainee
300,Medium skill,Medium comfort,Trainee
301,Medium skill,Medium comfort,Nontrainee
302,High skill,High comfort,Nontrainee
303,High skill,High comfort,Trainee
304,Medium skill,Medium comfort,Nontrainee
305,Medium skill,Medium comfort,Trainee
306,Medium skill,Medium comfort,Trainee
307,Medium skill,Low comfort,Nontrainee
308,Medium skill,Medium comfort,Trainee
309,Medium skill,High comfort,Nontrainee
310,Medium skill,Low comfort,Trainee
311,Medium skill,Low comfort,Nontrainee
312,Medium skill,Medium comfort,Trainee
313,Medium skill,Medium comfort,Trainee
314,Low skill,High comfort,Nontrainee
315,Medium skill,Medium comfort,Nontrainee
316,Medium skill,High comfort,Trainee
317,Medium skill,Medium comfort,Trainee
318,Medium skill,Medium comfort,Trainee
319,Medium skill,Medium comfort,Nontrainee
320,Medium skill,Medium comfort,Trainee
321,High skill,High comfort,Trainee
322,Medium skill,Low comfort,Trainee
323,Low skill,Medium comfort,Nontrainee
324,Medium skill,Medium comfort,Nontrainee
325,Medium skill,Low comfort,Trainee
326,Medium skill,Medium comfort,Trainee
327,Medium skill,Medium comfort,Trainee
328,Low skill,Medium comfort,Trainee
329,Medium skill,Low comfort,Trainee
330,Low skill,Medium comfort,Nontrainee
331,Medium skill,Low comfort,Trainee
332,Medium skill,Medium comfort,Trainee
333,Medium skill,Medium comfort,Nontrainee
334,Medium skill,Medium comfort,Nontrainee
335,Medium skill,Medium comfort,Nontrainee
336,Medium skill,Medium comfort,Nontrainee
337,Low skill,Low comfort,Nontrainee
338,Medium skill,Medium comfort,Nontrainee
339,Medium skill,High comfort,Nontrainee
340,Medium skill,Medium comfort,Nontrainee
341,Medium skill,Medium comfort,Trainee
342,Low skill,Low comfort,Nontrainee
343,Medium skill,High comfort,Trainee
344,Medium skill,Medium comfort,Nontrainee
345,Medium skill,High comfort,Trainee
346,Medium skill,Low comfort,Nontrainee
347,High skill,Medium comfort,Trainee
348,Medium skill,Medium comfort,Nontrainee
349,High skill,High comfort,Nontrainee
350,Low skill,Low comfort,Trainee
351,Low skill,Low comfort,Nontrainee
352,Low skill,Low comfort,Nontrainee
353,Medium skill,Medium comfort,Trainee
354,Medium skill,Medium comfort,Nontrainee
355,Medium skill,Low comfort,Nontrainee
356,Low skill,Medium comfort,Nontrainee
357,Low skill,Low comfort,Trainee
358,Medium skill,Medium comfort,Trainee
359,Low skill,High comfort,Trainee
360,Medium skill,Medium comfort,Trainee
361,Medium skill,Medium comfort,Trainee
362,High skill,Medium comfort,Trainee
363,Medium skill,High comfort,Nontrainee
364,Low skill,Medium comfort,Nontrainee
365,Medium skill,High comfort,Trainee
366,Low skill,Low comfort,Trainee
367,Medium skill,Medium comfort,Nontrainee
368,Medium skill,Medium comfort,Nontrainee
369,Medium skill,Medium comfort,Trainee
370,Medium skill,High comfort,Nontrainee
371,Medium skill,Medium comfort,Nontrainee
372,Low skill,Medium comfort,Trainee
373,Medium skill,Medium comfort,Trainee
374,Medium skill,Medium comfort,Trainee
375,Medium skill,Medium comfort,Trainee
376,Medium skill,High comfort,Nontrainee
377,High skill,High comfort,Trainee
378,Medium skill,Medium comfort,Nontrainee
379,High skill,High comfort,Trainee
380,Medium skill,Medium comfort,Nontrainee
381,Medium skill,High comfort,Trainee
382,Medium skill,Low comfort,Trainee
383,Medium skill,High comfort,Trainee
384,Low skill,Low comfort,Nontrainee
385,Low skill,Medium comfort,Nontrainee
386,Low skill,Medium comfort,Trainee
387,Medium skill,Medium comfort,Trainee
388,High skill,High comfort,Trainee
389,High skill,High comfort,Nontrainee
390,Medium skill,Medium comfort,Nontrainee
391,Medium skill,Medium comfort,Nontrainee
392,Medium skill,High comfort,Nontrainee
393,High skill,High comfort,Nontrainee
394,Medium skill,High comfort,Trainee
395,Medium skill,High comfort,Nontrainee
396,Medium skill,Medium comfort,Nontrainee
397,Low skill,Low comfort,Nontrainee
398,Medium skill,High comfort,Trainee
399,Medium skill,Low comfort,Nontrainee
400,Medium skill,Medium comfort,Nontrainee
401,Medium skill,High comfort,Trainee
402,High skill,Medium comfort,Trainee
403,Low skill,High comfort,Trainee
404,Medium skill,High comfort,Nontrainee
405,High skill,Medium comfort,Nontrainee
406,Low skill,Low comfort,Nontrainee
407,Medium skill,High comfort,Trainee
408,High skill,High comfort,Trainee
409,Medium skill,Medium comfort,Nontrainee
410,High skill,High comfort,Nontrainee
411,Low skill,Medium comfort,Nontrainee
412,Medium skill,High comfort,Trainee
413,Medium skill,Medium comfort,Trainee
414,High skill,High comfort,Nontrainee
415,Medium skill,Low comfort,Trainee
416,Medium skill,High comfort,Nontrainee
417,Medium skill,High comfort,Nontrainee
418,Medium skill,Medium comfort,Nontrainee
419,Medium skill,Medium comfort,Nontrainee
420,Medium skill,Medium comfort,Trainee
421,Medium skill,High comfort,Trainee
422,Medium skill,High comfort,Trainee
423,Medium skill,Medium comfort,Nontrainee
424,High skill,High comfort,Trainee
425,Medium skill,High comfort,Nontrainee
426,High skill,Medium comfort,Trainee
427,Medium skill,High comfort,Trainee
428,Low skill,High comfort,Trainee
429,Low skill,Medium comfort,Trainee
430,Medium skill,Medium comfort,Nontrainee
431,High skill,High comfort,Nontrainee
432,High skill,High comfort,Nontrainee
433,High skill,High comfort,Nontrainee
434,Medium skill,Medium comfort,Nontrainee
435,Medium skill,Medium comfort,Nontrainee
436,Low skill,Medium comfort,Trainee
437,Medium skill,High comfort,Nontrainee
438,Medium skill,Medium comfort,Trainee
439,Low skill,Medium comfort,Trainee
440,Medium skill,High comfort,Trainee
441,Medium skill,Medium comfort,Nontrainee
442,Medium skill,High comfort,Trainee
443,Medium skill,Medium comfort,Nontrainee
444,Medium skill,High comfort,Nontrainee
445,High skill,High comfort,Nontrainee
446,Low skill,Medium comfort,Nontrainee
447,Low skill,High comfort,Trainee
448,Medium skill,High comfort,Nontrainee
449,High skill,High comfort,Nontrainee
450,Medium skill,Medium comfort,Nontrainee
451,Medium skill,High comfort,Nontrainee
452,Low skill,Medium comfort,Nontrainee
453,Low skill,Medium comfort,Nontrainee
454,Medium skill,High comfort,Trainee
455,High skill,High comfort,Trainee
456,Low skill,Low comfort,Nontrainee
457,High skill,High comfort,Nontrainee
458,Medium skill,High comfort,Nontrainee
459,Medium skill,Medium comfort,Nontrainee
460,Medium skill,High comfort,Nontrainee
461,Low skill,Medium comfort,Nontrainee
462,Medium skill,Medium comfort,Nontrainee
463,Medium skill,Medium comfort,Nontrainee
464,Medium skill,High comfort,Nontrainee
465,High skill,High comfort,Nontrainee
466,Medium skill,Medium comfort,Nontrainee
467,High skill,High comfort,Nontrainee
468,Medium skill,Medium comfort,Nontrainee
469,Medium skill,Low comfort,Nontrainee
470,Medium skill,Medium comfort,Nontrainee
471,Medium skill,Medium comfort,Nontrainee
472,High skill,Medium comfort,Nontrainee
473,Medium skill,Medium comfort,Nontrainee
474,Medium skill,Medium comfort,Trainee
475,Medium skill,Medium comfort,Nontrainee
476,High skill,High comfort,Trainee
477,High skill,High comfort,Nontrainee
478,Medium skill,Medium comfort,Nontrainee
479,Low skill,Medium comfort,Nontrainee
480,Medium skill,Medium comfort,Trainee
481,Low skill,Low comfort,Trainee
482,Medium skill,Medium comfort,Nontrainee
483,Medium skill,Medium comfort,Trainee
484,Medium skill,Medium comfort,Trainee
485,Medium skill,High comfort,Trainee
486,Medium skill,Medium comfort,Trainee
487,Medium skill,High comfort,Nontrainee
488,Low skill,Medium comfort,Trainee
489,Low skill,Low comfort,Nontrainee
490,Medium skill,High comfort,Nontrainee
491,High skill,High comfort,Trainee
492,Medium skill,Medium comfort,Nontrainee
493,Medium skill,High comfort,Trainee
