0
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc)"
"Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc)"
"Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc)"
"Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
"Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)"
